,Gestational,No Diabetes,Pre-Diabetes,Type 1,Type 2,Overall Mean |SHAP|
hba1c,0.01853209738794024,0.16309479917606748,0.2005155437737031,0.011392632465146517,0.18115622213705382,0.11493825898798223
glucose_fasting,0.009380079106632268,0.13949136677485874,0.09218004715191488,0.00872857896058197,0.050678306669549214,0.06009167573270742
Age,0.055958668801906836,0.010055301365051637,0.03275114849428262,0.04568999409238552,0.054160059491496125,0.03972303444902455
glucose_postprandial,0.015214889251905334,0.05574780437620474,0.05060025892906736,0.00846277797542142,0.061280664980242795,0.03826127910256833
gender,0.05322234316938422,0.005680383476100399,0.014344078752985831,0.013085842467670297,0.02011586269777281,0.02128970211278271
systolic_bp,0.008124935011721365,0.0029613334838733216,0.007148348199795291,0.014327729094768015,0.012348909924087057,0.00898225114284901
bmi,0.009117856062313648,0.0038751191800378876,0.006451318150518794,0.008788123822102641,0.008434451322671102,0.007333373707528815
physical_activity_minutes_per_week,0.00709218232359489,0.003010986902056472,0.007405445050556531,0.009889433755447886,0.00852644640009603,0.007184898886350363
diastolic_bp,0.0076355138981549255,0.004013351007185206,0.0062130308799675455,0.00871882651002338,0.007551946867225257,0.006826533832511262
screen_time_hours_per_day,0.008368832544152402,0.0024986590518985604,0.006887977565595464,0.008165099878554028,0.007908959777652352,0.006765905763570561
cholesterol_total,0.006616315086872701,0.002603665103549515,0.006009861926742978,0.009127814908308971,0.008658424338001739,0.006603216272695181
insulin_level,0.00803434447432623,0.0018856990715249687,0.006617542447965932,0.007902605191910304,0.007789002430040436,0.006445838723153574
triglycerides,0.006259146518998106,0.0023170439955970254,0.006555212386790463,0.008488744421278841,0.007555061052045085,0.006235041674941904
ldl_cholesterol,0.005860111280573431,0.002439312007430116,0.005588314020625727,0.008980070103565057,0.007880730121480321,0.006149707506734931
sleep_hours_per_day,0.007140870335183795,0.0025830934165548807,0.005849099953189491,0.007464509957429389,0.007700592751777672,0.006147633282827046
heart_rate,0.0055646663196931125,0.002826312497436361,0.006183284299711225,0.008971073302964266,0.0065133697465432315,0.006011741233269639
diet_score,0.007261466030203747,0.0030002134828575502,0.00572602541254793,0.007104113052170369,0.006863618826288246,0.005991087360813568
hdl_cholesterol,0.007218348878244075,0.0017016675905447175,0.00635995893871409,0.007593858304489631,0.007054229133880038,0.00598561256917451
waist_to_hip_ratio,0.005352725884632468,0.0017957186836539383,0.004493286210565333,0.006093165728977467,0.0058131103014749715,0.0047096013618608355
family_history_diabetes,0.0007670313457214256,0.0038620121358536675,0.0040926692127534175,0.0013058122750997194,0.006635165036975526,0.0033325380012807515
income_level,0.0028968494506508608,0.0009324700089436859,0.0028279759242742395,0.004045774640068293,0.003339151172143643,0.0028084442392161445
alcohol_consumption_per_week,0.0032839077353852436,0.0013578155783060249,0.0028953330785754907,0.0035949136815718492,0.0027587967081808286,0.0027781533564038875
ethnicity,0.0034312125108022836,0.0008413338348088822,0.002759962555114259,0.0037026674148215293,0.0028311272410558364,0.002713260711320558
education_level,0.002047855770413337,0.0006926171231964156,0.0018486698680281737,0.0021440075029755556,0.0020160188033588365,0.001749833813594464
employment_status,0.001826617208406932,0.0008170104232221008,0.0017234004572596357,0.0020398608307934914,0.0017397541070275785,0.0016293286053419478
smoking_status,0.0012875462081241183,0.0006641446292184745,0.0014337900582811565,0.0021419374830711647,0.0016852993358521012,0.001442543542909403
hypertension_history,0.00140078604757615,0.000823980939545209,0.0007038490929573844,0.000768618639853546,0.0014959176730267277,0.0010386304785918034
cardiovascular_history,0.0008875225853365829,0.00013924467460548599,0.0002872774462602252,0.00029395308071270953,0.0011534419920730726,0.0005522879557976153
